salt type,salinity (mol/kg),temperature(K),pressure (MPa),X (mol/kg),log (P),log(T)
0,0,298,0.0980665,0.033,-1.008479324,2.474216264
0,0,298,2.0005566,0.605,0.301150843,2.474216264
0,0,298,4.0011132,1.049,0.602180839,2.474216264
0,0,298,6.0016698,1.349,0.778272098,2.474216264
0,0,298,8.0022264,1.395,0.903210834,2.474216264
0,0,298,10.002783,1.426,1.000120847,2.474216264
0,0,298,13.34685065,1.476,1.125378801,2.474216264
0,0,298,15.34740725,1.504,1.186035017,2.474216264
0,0,298,16.68111165,1.522,1.222224989,2.474216264
0,0,298,18.68166825,1.549,1.271415656,2.474216264
0,0,333,0.0980665,0.0137,-1.008479324,2.522444234
0,0,333,2.0005566,0.3149,0.301150843,2.522444234
0,0,333,4.0011132,0.572,0.602180839,2.522444234
0,0,333,6.0016698,0.7754,0.778272098,2.522444234
0,0,333,8.0022264,0.929,0.903210834,2.522444234
0,0,333,10.002783,1.04,1.000120847,2.522444234
0,0,333,13.34685065,1.144,1.125378801,2.522444234
0,0,333,15.34740725,1.174,1.186035017,2.522444234
0,0,333,16.68111165,1.193,1.222224989,2.522444234
0,0,333,18.68166825,1.221,1.271415656,2.522444234
0,0,353,0.0980665,0.007,-1.008479324,2.547774705
0,0,353,2.0005566,0.245,0.301150843,2.547774705
0,0,353,4.0011132,0.455,0.602180839,2.547774705
0,0,353,6.0016698,0.6302,0.778272098,2.547774705
0,0,353,8.0022264,0.7718,0.903210834,2.547774705
0,0,353,10.002783,0.8841,1.000120847,2.547774705
0,0,353,13.34685065,1.007,1.125378801,2.547774705
0,0,353,15.34740725,1.064,1.186035017,2.547774705
0,0,353,16.68111165,1.097,1.222224989,2.547774705
0,0,353,18.68166825,1.14,1.271415656,2.547774705
0,0,373,0.0980665,0,-1.008479324,2.571708832
0,0,373,2.0005566,0.2027,0.301150843,2.571708832
0,0,373,4.0011132,0.3873,0.602180839,2.571708832
0,0,373,6.0016698,0.545,0.778272098,2.571708832
0,0,373,8.0022264,0.679,0.903210834,2.571708832
0,0,373,10.002783,0.7917,1.000120847,2.571708832
